zip,primary_city,acceptable_cities,state,county,latitude,longitude
00601,Adjuntas,,PR,Adjuntas,18.16,-66.72
00602,Aguada,,PR,,18.38,-67.18
00603,Aguadilla,Ramey,PR,Aguadilla,18.43,-67.15
00606,Maricao,,PR,Maricao,18.18,-66.98
00610,Anasco,,PR,,18.28,-67.14
00612,Arecibo,,PR,Arecibo,18.45,-66.73
00616,Bajadero,,PR,Arecibo,18.4,-66.66
00617,Barceloneta,,PR,Barceloneta,18.45,-66.53
00622,Boqueron,,PR,,17.99,-67.15
00623,Cabo Rojo,,PR,,18.08,-67.14
00624,Penuelas,,PR,,18.06,-66.72
00627,Camuy,,PR,,18.48,-66.84
00637,Sabana Grande,,PR,,18.08,-66.96
00638,Ciales,,PR,,18.33,-66.47
00641,Utuado,,PR,,18.27,-66.7
00646,Dorado,,PR,,18.47,-66.27
00647,Ensenada,,PR,,17.96,-66.94
00650,Florida,,PR,,18.36,-66.56
00652,Garrochales,,PR,Arecibo,18.45,-66.6
00653,Guanica,,PR,,17.97,-66.93
00656,Guayanilla,,PR,,18.02,-66.79
00659,Hatillo,,PR,,18.48,-66.82
00660,Hormigueros,,PR,,18.14,-67.12
00662,Isabela,,PR,,18.5,-67.02
00664,Jayuya,,PR,,18.22,-66.59
00667,Lajas,,PR,,18.04,-67.06
00669,Lares,,PR,,18.29,-66.88
00670,Las Marias,,PR,,18.27,-67.06
00674,Manati,,PR,,18.43,-66.48
00676,Moca,,PR,,18.39,-67.11
00677,Rincon,,PR,,18.34,-67.25
00678,Quebradillas,,PR,,18.47,-66.93
00680,Mayaguez,,PR,,18.2,-67.14
00682,Mayaguez,,PR,,18.2,-67.14
00683,San German,,PR,,18.08,-67.04
00685,San Sebastian,,PR,,18.33,-66.99
00687,Morovis,,PR,,18.32,-66.4
00688,Sabana Hoyos,,PR,,18.38,-66.62
00690,San Antonio,,PR,,18.49,-67.09
00692,Vega Alta,,PR,,18.41,-66.32
00693,Vega Baja,,PR,,18.44,-66.39
00698,Yauco,,PR,,18.03,-66.86
00703,Aguas Buenas,,PR,,18.25,-66.1
00704,Aguirre,,PR,,17.96,-66.22
00705,Aibonito,,PR,,18.14,-66.26
00707,Maunabo,,PR,,18,-65.9
00714,Arroyo,,PR,,17.97,-66.06
00715,Mercedita,Ponce,PR,,18,-66.56
00716,Ponce,Mercedita,PR,,17.98,-66.6
00717,Ponce,,PR,,17.98,-66.6
00718,Naguabo,,PR,,18.21,-65.73
00719,Naranjito,,PR,,18.3,-66.24
00720,Orocovis,,PR,,18.22,-66.39
00723,Patillas,,PR,Patillas,18,-66.01
00725,Caguas,,PR,,18.23,-66.03
00727,Caguas,,PR,,18.23,-66.03
00728,Ponce,,PR,,17.98,-66.6
00729,Canovanas,,PR,Canóvanas,18.37,-65.9
00730,Ponce,,PR,,17.98,-66.6
00731,Ponce,,PR,,17.98,-66.6
00735,Ceiba,"Roosevelt Rds, Roosevelt Roads",PR,,18.26,-65.64
00736,Cayey,,PR,,18.11,-66.16
00738,Fajardo,,PR,,18.33,-65.65
00739,Cidra,,PR,,18.17,-66.15
00740,Puerto Real,,PR,,18.33,-65.63
00741,Punta Santiago,Punta Stgo,PR,,18.15,-65.76
00745,Rio Grande,,PR,,18.38,-65.83
00751,Salinas,,PR,,17.97,-66.29
00754,San Lorenzo,,PR,,18.19,-65.96
00757,Santa Isabel,,PR,Santa Isabel,17.97,-66.4
00765,Vieques,,PR,,18.42,-65.83
00766,Villalba,,PR,,18.13,-66.48
00767,Yabucoa,,PR,,18.04,-65.87
00769,Coamo,,PR,,18.08,-66.36
00771,Las Piedras,,PR,,18.18,-65.86
00772,Loiza,,PR,,18.43,-65.88
00773,Luquillo,,PR,,18.37,-65.71
00777,Juncos,,PR,,18.22,-65.91
00778,Gurabo,,PR,,18.25,-65.97
00780,Coto Laurel,Ponce,PR,,18.09,-66.57
00782,Comerio,,PR,,18.22,-66.22
00783,Corozal,,PR,,18.34,-66.31
00784,Guayama,,PR,,17.97,-66.11
00791,Humacao,,PR,,18.15,-65.81
00794,Barranquitas,,PR,,18.18,-66.3
00795,Juana Diaz,,PR,,18.05,-66.5
00802,St Thomas,"Charlotte Ama, Charlotte Amalie",VI,,18.35,-64.93
00820,Christiansted,St Croix,VI,,17.74,-64.7
00830,St John,Cruz Bay,VI,,18.33,-64.79
00840,Frederiksted,,VI,,17.71,-64.88
00850,Kingshill,,VI,,17.76,-64.82
00901,San Juan,"Old San Juan, Viejo San Juan, Viejo Sn Juan",PR,,18.4,-66.06
00907,San Juan,"Condado, Miramar, Santurce",PR,,18.4,-66.06
00909,San Juan,"Fdez Juncos, Fernandez Juncos, Minillas, Santurce",PR,,18.44,-66.06
00911,San Juan,"Loiza Street, Santurce",PR,,18.4,-66.06
00912,San Juan,Santurce,PR,,18.4,-66.06
00913,San Juan,"Isla Verde, Santurce",PR,,18.4,-66.06
00915,San Juan,"Barrio Obrero, Bo Obrero, Santurce",PR,,18.4,-66.06
00917,San Juan,Hato Rey,PR,,18.4,-66.06
00918,San Juan,,PR,,18.4,-66.06
00920,San Juan,"Caparra, Caparra Hills, Caparra Ter, Caparra Terrace, Pto Nuevo, Puerto Nuevo",PR,,18.4,-66.06
00921,San Juan,"College Park, Pto Nuevo, Puerto Nuevo, Rio Piedras",PR,,18.4,-66.06
00923,San Juan,65th Infantry,PR,,18.4,-66.06
00924,San Juan,"Rio Piedras, 65th Infantry",PR,,18.4,-66.06
00925,San Juan,Rio Piedras,PR,,18.4,-66.06
00926,San Juan,"Cupey, Rio Piedras",PR,,18.4,-66.06
00927,San Juan,Rio Piedras,PR,,18.4,-66.06
00934,Fort Buchanan,Ft Buchanan,PR,,18.41,-66.11
00949,Toa Baja,Levittown,PR,,18.44,-66.25
00952,Sabana Seca,,PR,Toa Baja,18.42,-66.19
00953,Toa Alta,,PR,Toa Alta,18.39,-66.25
00956,Bayamon,,PR,Bayamón,18.28,-66.13
00957,Bayamon,,PR,Bayamón,18.28,-66.13
00959,Bayamon,,PR,Bayamón,18.28,-66.13
00961,Bayamon,,PR,Bayamón,18.41,-66.15
00962,Catano,,PR,Cataño,18.43,-66.11
00965,Guaynabo,,PR,Guaynabo,18.38,-66.11
00966,Guaynabo,,PR,Guaynabo,18.38,-66.11
00968,Guaynabo,,PR,Guaynabo,18.38,-66.11
00969,Guaynabo,,PR,Guaynabo,18.38,-66.11
